index	doi	title
47	10.1049/mnl.2017.0128	Fabrication of piezoelectric vibration energy harvester using coatable PolyVinylidene DiFluoride and its characterisation
48	10.3390/mi14061159	Multidirectional Piezoelectric Vibration Energy Harvester Based on Cam Rotor Mechanism
49	10.24425/bpasts.2021.137509	Bandwidth and power enhancement in the MEMS-based piezoelectric energy harvester using magnetic tip mass
50	10.1108/cw-11-2017-0067	Design and analysis of cantilever based piezoelectric vibration energy harvester
51	10.3390/s23115257	Linear Segmented Arc-Shaped Piezoelectric Branch Beam Energy Harvester for Ultra-Low Frequency Vibrations
52	10.1016/j.ecmx.2022.100290	Development of a varying multi-cantilever beam frequency up conversion energy harvester
53	10.1177/1045389x20983880	Impact-driven piezoelectric energy harvester using a pendulum structure for low-frequency vibration
54	10.1063/5.0116838	Enhanced performance on piezoelectric MEMS vibration energy harvester by dynamic magnifier under impulsive force
55	10.1088/1361-6463/abe968	A collision impact based energy harvester using piezoelectric polyline beams with electret coupling
56	10.3390/en10050646	Energy Harvesting Based on a Novel Piezoelectric 0.7PbZn0.3Ti0.7O3-0.3Na2TiO3 Nanogenerator
57	10.3390/s21217042	Experimental Characterization of Optimized Piezoelectric Energy Harvesters for Wearable Sensor Networks
58	10.3390/s22082880	Bi-Directional Piezoelectric Multi-Modal Energy Harvester Based on Saw-Tooth Cantilever Array
59	10.7567/jjap.52.10mb01	Energy Harvesting Characteristics from Water Flow by Piezoelectric Energy Harvester Device Using Cr/Nb Doped Pb(Zr,Ti)O<sub>3</sub>Bimorph Cantilever
60	10.1177/1045389x211014950	Hybrid vibration energy harvesting based on piezoelectric polyline beams with electret coupling
61	10.1021/acsanm.7b00317	Hierarchical PbZr<sub><i>x</i></sub>Ti<sub>1–<i>x</i></sub>O<sub>3</sub> Nanowires for Vibrational Energy Harvesting
62	10.7567/jjap.56.04cc03	High-efficiency MOSFET bridge rectifier for AlN MEMS cantilever vibration energy harvester
63	10.1088/1361-665x/ad9972	A novel horizontal self-tuning piezoelectric energy harvester based on a beam-slider system
64	10.3390/s22218506	Vibration Energy Conversion Power Supply Based on the Piezoelectric Thin Film Planar Array
65		Application of Piezoelectric Energy Harvesting in Powering Radio Frequency (RF) Module
66	10.1088/1361-665x/ad41a8	Design and experimental investigation of a positive feedback magnetic-coupled piezoelectric energy harvester
67	10.1109/jsen.2022.3226537	Double Impact-Based Piezoelectric Energy Harvester for Low-Frequency Operation
68	10.1002/adem.202301154	Study of a Piezoelectric Energy Harvesting Collaborative Strategy Based on the Synergy of Multifrequency Technique and Magnetic Nonlinear Technique
69	10.4028/www.scientific.net/amm.404.635	Broadband Low-Frequency Vibration Energy Harvester with a Rolling Mass
70	10.1299/jsmedmc.2010._607-1_	607 Power Generation Performance Evaluation of Vibration Energy Harvester with Piezocomposite and Power Loss Evaluation of a Full-Bridge Rectifier
71	10.1115/smasis2010-3708	An Experimental Performance Evaluation of DC Power Generation and Power Loss in Full-Bridge Rectifier of Cantilever Type of Piezoelectric Vibration Energy Harvester
72	10.1088/1742-6596/1052/1/012072	Autoparametric Excitation and Self-powered SSHI for Power Enhancement in Piezoelectric Vibration Energy Harvester
73	10.1063/5.0228947	Improved piezoelectric energy harvester with dual-impact strategy for small acceleration amplitude vibrations
74	10.1166/jnn.2019.15888	A Low Frequency Vibration Energy Harvester Using ZnO Nanowires on Elastic Interdigitated Electrodes.
75	10.1080/15397734.2025.2489062	A percussion-type piezoelectric vibration energy harvester
76	10.1109/jmems.2011.2162488	Piezoelectric MEMS Energy Harvester for Low-Frequency Vibrations With Wideband Operation Range and Steadily Increased Output Power
77	10.1088/0964-1726/21/2/025007	The performance of a self-excited fluidic energy harvester
78	10.1088/0964-1726/22/9/095019	Piezoelectric energy harvesting from traffic-induced bridge vibrations
79	10.1088/0964-1726/22/5/055013	Low frequency acoustic energy harvesting using PZT piezoelectric plates in a straight tube resonator
80	10.1063/1.4862876	Energy harvesting from ambient low-frequency magnetic field using magneto-mechano-electric composite cantilever
81	10.21595/jve.2016.16938	A rail-borne piezoelectric transducer for energy harvesting of railway vibration
82	10.1109/jmems.2015.2496346	Power Optimization by Mass Tuning for MEMS Piezoelectric Cantilever Vibration Energy Harvesting
83	10.1002/adfm.201801327	Strongly (001) Oriented Bimorph PZT Film on Metal Foils Grown by <i>rf</i>‐Sputtering for Wrist‐Worn Piezoelectric Energy Harvesters
84	10.3390/mi10100639	A Low-Frequency MEMS Piezoelectric Energy Harvesting System Based on Frequency Up-Conversion Mechanism
85	10.1063/1.3296156	Energy harvesting using a modified rectangular cymbal transducer based on 0.71Pb(Mg1/3Nb2/3)O3–0.29PbTiO3 single crystal
86	10.7567/jjap.52.09kd13	Lead-Free Piezoelectric MEMS Energy Harvesters of (K,Na)NbO<sub>3</sub>Thin Films on Stainless Steel Cantilevers
87	10.1063/1.4737170	Cantilever driving low frequency piezoelectric energy harvester using single crystal material 0.71Pb(Mg1/3Nb2/3)O3-0.29PbTiO3
88	10.1080/14686996.2018.1508985	Bimorph piezoelectric vibration energy harvester with flexible 3D meshed-core structure for low frequency vibration
89	10.1063/5.0089382	Vibro-impact energy harvester for low frequency vibration enhanced by acoustic black hole
90	10.1063/1.4879876	Structure–performance relationships for cantilever-type piezoelectric energy harvesters
91	10.3390/mi12020203	A Multi-Mode Broadband Vibration Energy Harvester Composed of Symmetrically Distributed U-Shaped Cantilever Beams
92	10.3390/mi13050675	Design and Optimization of Piezoelectric Cantilever Beam Vibration Energy Harvester
93	10.1063/1.4919711	Low-frequency and wideband vibration energy harvester with flexible frame and interdigital structure
94	10.1016/j.sna.2020.112148	Frequency tunable, flexible and low cost piezoelectric micro-generator for energy harvesting
95	10.1109/ted.2021.3072612	Design and Performance of ScAlN/AlN Trapezoidal Cantilever-Based MEMS Piezoelectric Energy Harvesters
96	10.1063/1.4948592	Design and analysis of a MEMS-based bifurcate-shape piezoelectric energy harvester
97	10.1109/jmems.2019.2920213	Design, Fabrication, and Characterization of Bimorph Micromachined Harvester With Asymmetrical PZT Films
98	10.1109/access.2017.2775652	Performance Dependence on Initial Free-End Levitation of a Magnetically Levitated Piezoelectric Vibration Energy Harvester With a Composite Cantilever Beam
99	10.1002/aelm.202300348	Bioinspired PVDF Piezoelectric Generator for Harvesting Multi‐Frequency Sound Energy
100	10.1063/5.0002400	Fabrication and performance of Tile transducers for piezoelectric energy harvesting
101	10.1109/sensor.2009.5285375	High performance piezoelectric MEMS energy harvester based on D33 mode of PZT thin film on buffer-layer with PBTIO3 inter-layer
102	10.1049/el.2012.1419	Piezoelectric MEMS low-level vibration energy harvester with PMN-PT single crystal cantilever
103	10.1109/transducers.2011.5969852	Energy harvesting from a rotating gear using an impact type piezoelectric MEMS scavenger
104	10.3390/mi14020421	A Novel Bird-Shape Broadband Piezoelectric Energy Harvester for Low Frequency Vibrations
105	10.1109/icsens.2016.7808560	A piezoelectric based vibration energy harvester fabricated using screen printing technique
106	10.1186/s40486-017-0054-x	Micro-fabricated flexible PZT cantilever using d33 mode for energy harvesting
107	10.1155/2020/4063025	A Metamaterial-Inspired Structure for Simultaneous Vibration Attenuation and Energy Harvesting
108	10.3390/mi14040892	Simulation and Experimental Study of a Piezoelectric Stack Energy Harvester for Railway Track Vibrations
109	10.1088/1361-665x/aaee4e	Soft magneto-sensitive elastomer and polyvinylidene fluoride polymer based nonlinear piezoelectric energy harvesting: design, modelling and experiment
110	10.12913/22998624/110175	Investigation of Electrical Properties for Cantilever-Based Piezoelectric Energy Harvester
111	10.3390/proceedings1040584	Bulk PZT Cantilever Based MEMS Acoustic Transducer for Cochlear Implant Applications
112	10.1177/1045389x20966057	Modeling and experiment of vibro-impact vibration energy harvester based on a partial interlayer-separated piezoelectric beam
113	10.1109/tuffc.2016.2572308	Shear-Mode-Based Cantilever Driving Low-Frequency Piezoelectric Energy Harvester Using 0.67Pb(Mg<sub>1/3</sub>Nb<sub>2/3</sub>)O<sub>3</sub>-0.33PbTiO<sub>3</sub>
114	10.1088/1361-665x/abf993	A cantilevered piezoelectric energy harvester excited by an axially pushed wedge cam using repulsive magnets for rotary motion
115	10.1063/5.0105103	High output performance of piezoelectric energy harvesters using epitaxial Pb(Zr, Ti)O3 thin film grown on Si substrate
116	10.1063/1.5063268	A broadband E-shaped piezoelectric energy harvester based on vortex-shedding induced vibration from low velocity liquid flow
117	10.3390/mi14050909	A Bio-Inspired Bistable Piezoelectric Structure for Low-Frequency Energy Harvesting Applied to Reduce Stress Concentration
118	10.1166/jnn.2013.8106	Design and fabrication of vibration based energy harvester using microelectromechanical system piezoelectric cantilever for low power applications.
119	10.7779/jksnt.2012.32.6.661	Design of a Bimorph Piezoelectric Energy Harvester for Railway Monitoring
120	10.1080/03772063.2021.1913071	Multi-perforated Energy-Efficient Piezoelectric Energy Harvester Using Improved Stress Distribution
121	10.1155/2018/5037187	Multifrequency Piezoelectric Energy Harvester Based on Polygon‐Shaped Cantilever Array
122	10.1177/14613484221133646	Piezoelectric vibration energy harvesting with asymmetric hybrid bracing beam
123	10.3390/s19143203	Design and Analysis of a Magnetically Coupled Multi-Frequency Hybrid Energy Harvester
124	10.3390/mi12091090	Design, Manufacture and Test of Piezoelectric Cantilever-Beam Energy Harvesters with Hollow Structures
125	10.1109/mems46641.2020.9056434	A MEMS Piezoelectric Vibration Energy Harvester Based on Trapezoidal Cantilever Beam Array
126	10.1016/j.sna.2021.112712	A new concept of frequency-excitation-up conversion to improve the yield of linear piezoelectric generators
127	10.3390/mi10030212	Fabrication and Characterization of the Li-Doped ZnO Thin Films Piezoelectric Energy Harvester with Multi-Resonant Frequencies
128	10.1063/1.5023824	Fabrication and characterization of a piezoelectric energy harvester with clamped-clamped beams
129	10.1109/memsys.2010.5442542	High efficiency energy harvester of transferred epitaxial PZT films on stainless steel sheets
130	10.1109/transducers.2013.6626806	Lead-free piezoelectric MEMS energy harvesters of stainless steel cantilevers
131	10.1049/nde2.12043	Frequency‐tunable resonant hybrid vibration energy harvester using a piezoelectric cantilever with electret‐based electrostatic coupling
132	10.7567/jjap.56.04cl04	Piezoelectric vibration energy harvesters with stretched and multistacked organic ferroelectric films
133	10.1088/1361-665x/ad5890	Piezoelectric energy harvester for wind turbine blades based on bistable response of a composite beam in post-buckling
134	10.1155/2021/4204440	Segmented Cantilever and Array Configurations for Wider Frequency Band and Higher Power Generation in Piezoelectric Vibration Energy Harvester
135	10.1063/5.0037731	Comparison of K0.5Na0.5NbO3 and PbZr0.52Ti0.48O3 compliant-mechanism-design energy harvesters
136	10.1177/16878132241248999	Design and test of liquid sloshing piezoelectric energy harvester
137	10.1016/j.rinp.2018.09.009	Fabrication and characterization of miniature nonlinear piezoelectric harvester applied for low frequency and weak vibration
138	10.7567/jjap.53.07ke04	New output power estimation method for cantilever-based piezoelectric energy harvesters
139	10.1117/12.2295313	The output power improvement and durability with different shape of MEMS piezoelectric energy harvester
140	10.1088/1742-6596/1052/1/012038	A High Performance Piezoelectric Micro Energy Harvester Based on Stainless Steel Substrates
141	10.3233/jae-140068	An infrasonic vibration energy harvester using pendulum impact
142	10.1088/1742-6596/1407/1/012081	MEMS Energy Harvesting Based on Uniform-Stress Cantilever with Multilayer PZT Thin Films
143	10.1166/jnn.2014.10120	Micro electro-mechanical system piezoelectric cantilever array for a broadband vibration energy harvester.
144	10.1117/12.2046687	Recent progress on micro-piezoelectric energy harvesters fabricated with aerosol deposition method and the interfacing circuits
145	10.1063/5.0064659	Research and analysis of an energy harvester of piezoelectric cantilever beam based on nonlinear magnetic action.
146		The MEMS Vibration Energy Harvester with Piezoelectric Array
147	10.1016/j.ymssp.2025.112730	A multidirectional broadband pendulum piezoelectric vibration energy harvester utilizing magnetic potential well
148	10.1002/admi.202300634	Compositional Modification of Epitaxial Pb(Zr,Ti)O3 Thin Films for High‐Performance Piezoelectric Energy Harvesters
149	10.1080/10584587.2016.1252663	Enhanced piezoelectric energy harvester performance using magnetic force and thermal energy
150	10.1109/jsen.2023.3312143	High-Performance Spiral Piezoelectric Energy Harvester With Wraparound Proof Mass
151	10.1088/1742-6596/922/1/012009	Non-resonant energy harvester with elastic constraints for low rotating frequencies
152	10.1109/tuffc.2020.3002917	Axe-Head-Shaped Piezoelectric Energy Harvesters Designed for Base and Tip Excitation-Based Energy Scavenging
153	10.3390/nano12213718	Comparison of L-Shaped and U-Shaped Beams in Bidirectional Piezoelectric Vibration Energy Harvesting
154	10.1063/5.0199502	Design and evaluation of a monostable symmetric piezoelectric energy harvester based on cantilever structure and magnetic excitation action.
155	10.7939/r3n29pf5c	Investigation of Potential Platforms for Low Frequency MEMS-based Piezoelectric Energy Harvesting
156	10.1109/mhs.2013.6710467	Modeling of metal-based piezoelectric MEMS energy harvesters
157		PZT-BASED ENERGY HARVESTERS ON PLASTIC FOIL OPTIMIZED THROUGH THEORETICAL MODELING AND FABRICATION IMPROVEMENTS
158	10.1299/jsmemnm.2011.3.35	3-7 Characterization of vibration energy harvesters composed of piezoelectric thin films
159	10.1088/1742-6596/1407/1/012119	An Umbrella-Shaped Topology for Broadband MEMS Piezoelectric Vibration Energy Harvesting
160	10.1080/15567036.2021.1977430	Modeling and experimental investigation of a bistable vibration energy harvester based on polyvinylidene fluoride (PVDF) film
161	10.1115/smasis2018-8022	The Reliability Testing and Fatigue Behavior Study of Micro Piezoelectric Energy Harvester
162	10.1177/1045389x241272984	Integration of PZT thick films on additively manufactured substrates for vibrational energy harvesting applications
163	10.1063/5.0231373	Investigating the advantages of internal impact in high-performance lightweight ultra-low-frequency rotational energy harvesters
164	10.3390/mi16121314	Piezoelectric Energy Harvester with Zigzag Root Section for Self-Powered Transformer Monitoring
165	10.3390/s19040890	Electrostatic MEMS Vibration Energy Harvesters inside of Tire Treads
166	10.1016/j.apenergy.2020.115518	Strongly coupled piezoelectric cantilevers for broadband vibration energy harvesting
167	10.1063/1.4929844	Two-dimensional concentrated-stress low-frequency piezoelectric vibration energy harvesters
168	10.3390/s151026039	Piezoelectric Energy Harvesting in Internal Fluid Flow
169	10.1088/1361-665x/aa6cfd	Experimental investigation of fan-folded piezoelectric energy harvesters for powering pacemakers
170	10.1016/j.apenergy.2022.120129	On a nonlinear broadband piezoelectric energy harvester with a coupled beam array
171	10.3390/s19092196	A Comparison Study of Fatigue Behavior of Hard and Soft Piezoelectric Single Crystal Macro-Fiber Composites for Vibration Energy Harvesting
172	10.1016/j.energy.2020.118752	An experimental study on a novel cylinder harvester made of L-shaped piezoelectric coupled beams with a high efficiency
173	10.1016/j.sbspro.2015.06.198	Micro-Electro-Mechanical System (MEMS)-Based Piezoelectric Energy Harvester for Ambient Vibrations
174	10.1109/jsen.2019.2932341	Impact of Geometry on the Performance of Cantilever-Based Piezoelectric Vibration Energy Harvesters
175	10.7567/jjap.55.06gp14	Design of piezoelectric MEMS cantilever for low-frequency vibration energy harvester
176	10.3390/app10103614	Snap-Through Buckling Mechanism for Frequency-up Conversion in Piezoelectric Energy Harvesting
177	10.1063/1.5034495	Low-frequency, broadband piezoelectric vibration energy harvester with folded trapezoidal beam
178	10.1088/1361-665x/ab19d2	Low frequency piezoelectric P(VDF-TrFE) micro-cantilevers with a novel MEMS process for vibration sensor and energy harvester applications
179	10.1186/s40580-024-00445-2	Simultaneous low-frequency vibration isolation and energy harvesting via attachable metamaterials
180	10.1109/jsen.2022.3169626	A Novel Piezoelectric Energy Harvester With Different Circular Arc Spiral Cantilever Beam
181	10.1088/1742-6596/1019/1/012033	An Optimization of Electrical Output Power for Piezoelectric Energy Harvester using Different Micro-Cantilever Beam Geometries
182	10.1088/2631-8695/abaf09	Long-term power degradation testing of piezoelectric vibration energy harvesters for low-frequency applications
183	10.1016/j.egyr.2022.04.022	Application of the meta-substrates for power amplification in rotary piezoelectric energy harvesting systems: Design, fabrication and testing
184	10.1111/jace.17606	Interdependence of piezoelectric coefficient and film thickness in LiTaO <sub>3</sub> cantilevers
185	10.3390/s20133755	Piezoelectric Energy Harvesting from Suspension Structures with Piezoelectric Layers
186	10.1109/ultsym.2009.5441676	Free-standing thick-film piezoelectric multimorph cantilevers for energy harvesting
187	10.3390/en14010211	Planform Geometry and Excitation Effects of PVDF-Based Vibration Energy Harvesters
188	10.1109/jsen.2024.3392588	A Low-Frequency High-Performance Harvesting System With Combined Cantilever Beam
189	10.3390/mi11121072	Fluorinated Polyethylene Propylene Ferroelectrets with an Air-Filled Concentric Tunnel Structure: Preparation, Characterization, and Application in Energy Harvesting
190	10.1115/smasis2010-3729	Experimental Study of a Self-Excited Piezoelectric Energy Harvester
191	10.37934/arfmts.102.2.8198	Modelling and Characterization Piezoelectric Transducer for Sound Wave Energy Harvesting
192	10.1017/jmech.2018.63	Resonant Frequency Reduction of Piezoelectric Voltage Energy Harvester by Elastic Boundary Condition
193	10.3390/s23135895	Design and Analysis of an Extended Simply Supported Beam Piezoelectric Energy Harvester
194	10.3390/s22197449	Piezoelectric Energy Harvesting from Rotational Motion to Power Industrial Maintenance Sensors
195	10.1515/teme-2020-0030	Electromechanical modelling of piezoelectric vibration energy harvester with a novel dynamic magnifier
196	10.21595/jve.2017.18940	Voltage enhancing using multi-magnetic arrangement for low frequency vibrational energy harvesting
197	10.4313/jkem.2011.24.5.416	A Study on Energy Harvester with Cantilever Structure Using PZT Piezoelectric Material
198	10.3390/s21113861	Analytical Modeling of a Doubly Clamped Flexible Piezoelectric Energy Harvester with Axial Excitation and Its Experimental Characterization
199	10.1541/ieejsmas.137.140	Micro-Watt Order Power Generation by Miniaturized Energy Harvester using Coatable PVDF Piezoelectric Thin Film
200	10.1088/0964-1726/17/3/035030	An optimized self-powered switching circuit for non-linear energy harvesting with low voltage output
201	10.1109/jmems.2012.2213069	Comparison of MEMS PZT Cantilevers Based on $d_{31}$  and $d_{33}$ Modes for Vibration Energy Harvesting
202	10.1016/j.ymssp.2019.02.003	Analytical modeling and validation of multi-mode piezoelectric energy harvester
203	10.1016/j.heliyon.2017.e00377	Design optimization of PVDF-based piezoelectric energy harvesters
204	10.1016/j.aej.2020.11.024	An experimental validation of a new shape optimization technique for piezoelectric harvesting cantilever beams
205	10.1109/jmems.2019.2942291	T-Shaped Piezoelectric Structure for High-Performance MEMS Vibration Energy Harvesting
206	10.1088/1361-665x/ac1d8f	Broadband piezoelectric energy harvesting induced by mixed resonant modes under magnetic plucking
207	10.3390/en15197271	Automatic Resonance Tuning Technique for an Ultra-Broadband Piezoelectric Energy Harvester
208	10.1109/uksim.2013.125	Shape Optimization of Cantilever-based MEMS Piezoelectric Energy Harvester for Low Frequency Applications
209	10.1109/iciset.2016.7856532	Design and simulation of piezoelectric cantilever beam based on mechanical vibration for energy harvesting application
210	10.1088/1361-665x/aaee97	Theoretical analysis and experimental study of a nonlinear U-shaped bi-directional piezoelectric energy harvester
211	10.3390/mi12070772	Theoretical and Experimental Studies on MEMS Variable Cross-Section Cantilever Beam Based Piezoelectric Vibration Energy Harvester
212	10.3390/app6120402	A Novel Ropes-Driven Wideband Piezoelectric Vibration Energy Harvester
213	10.1088/1361-665x/abd4af	A wide band nonlinear dual piezoelectric cantilever energy harvester coupled by origami
214	10.3390/s21144747	Comparison of Metal-Based PZT and PMN–PT Energy Harvesters Fabricated by Aerosol Deposition Method
215	10.1088/1361-665x/abee36	Effect of single-side stroke limiter on cantilever-based piezoelectric energy harvesting from low frequency vibrations
216	10.1109/issbes.2015.7435914	From ambient vibrations to green energy source: MEMS piezoelectric energy harvester for low frequency application
217	10.1088/1361-665x/ab3f47	A novel passive mechanism to improve power output in 2DOF piezoelectric vibration energy harvester
218	10.1177/1045389x13483021	Increasing the power of piezoelectric energy harvesters by magnetic stiffening
219	10.5539/jmsr.v6n4p5	Modeling, Simulation and Optimization of Piezoelectric Bimorph Transducer for Broadband Vibration Energy Harvesting
220	10.3390/proceedings1040588	Development of a Compact, Low-Frequency Vibration, Piezoelectric MEMS Energy Harvester
221	10.1016/j.ymssp.2019.06.019	The development and optimization of an innovative piezoelectric energy harvester on the basis of vapor-induced vibrations
222	10.1109/uksim.2013.153	Vibration-based MEMS Piezoelectric Energy Harvester for Power Optimization
223	10.3390/s23031372	Enhancing the Bandwidth and Energy Production of Piezoelectric Energy Harvester Using Novel Multimode Bent Branched Beam Design for Human Motion Application
224		Investigation of Concurrent Energy Harvesting from Ambient Vibrations and Wind
225	10.1049/iet-cta.2011.0173	Efficient energy scavengers by flexible robot arm with non-uniform cross-section
226	10.1109/icpects49113.2020.9337025	Electrical Characteristics and the vibration performance of PVDF - Cu MEMS Piezoelectric Vibrational Energy Harvester
227	10.1117/12.885861	Modeling and analysis of a micromachined piezoelectric energy harvester stimulated by ambient random vibrations
228	10.1117/12.2181252	Nonlinear vibration analysis of the high-efficiency compressive-mode piezoelectric energy harvester
229	10.1080/10584587.2020.1803674	Characterization and Optimization of Piezoelectric Bimorph Cantilever Structure for Ambient Vibration-Based Energy Harvesting Application
230	10.7567/jjap.57.11ud10	Characterization of piezoelectric MEMS vibration energy harvesters using random vibration
231	10.3390/mi15081013	Modeling and Experimental Study of Vibration Energy Harvester with Triple-Frequency-Up Voltage Output by Vibration Mode Switching
232	10.1117/12.2009621	A multiaxial piezoelectric energy harvester
233	10.22060/ajme.2018.14272.5718	Analytical and Experimental Investigation into Increasing Operating Bandwidth of Piezoelectric Energy Harvesters
234	10.3390/act12050215	Ferroelectret Polypropylene Foam-Based Piezoelectric Energy Harvester for Different Seismic Mass Conditions
235	10.1117/12.2219228	Fatigue study and improve reliability of cantilever type micro piezoelectric energy harvesters reinforced with flexible adhesive conductive tape
236	10.1109/isaf.2015.7172670	Piezoelectric free-standing thick-film structures for material characterization and energy harvesting applications
